date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:35	2103/2103	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2015:03:19%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Fedx-trn-sq.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=86be374faaa2c332611cd8a1cb508975	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/edx-trn-sqe227.png	(from https://www.classcentral.com/)
07:13:35	830926/830926	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:35%20GMT	https://www.classcentral.com/provider/edx	C:/My%20Web%20Sites/classcentral/www.classcentral.com/provider/edx.html	(from https://www.classcentral.com/)
07:13:36	215/215	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2008:03:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Ffuturelearn-trn-sq.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=c69690bc75957912c28643eddaf2ae9b	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/futurelearn-trn-sq1970.png	(from https://www.classcentral.com/)
07:13:36	1603/1603	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2010:51:09%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Ffuturelearn-trn-sq.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=890afa9595255a6e9b8884ddc515d769	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/futurelearn-trn-sqc75e.png	(from https://www.classcentral.com/)
07:13:36	838143/838143	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:36%20GMT	https://www.classcentral.com/provider/futurelearn	C:/My%20Web%20Sites/classcentral/www.classcentral.com/provider/futurelearn.html	(from https://www.classcentral.com/)
07:13:36	7693/7693	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Mar%202023%2005:13:36%20GMT	https://www.classcentral.com/provider/udemy	C:/My%20Web%20Sites/classcentral/www.classcentral.com/provider/udemy	(from https://www.classcentral.com/)
07:13:36	206/206	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2010:51:11%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Fudemy-trn-sq.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=3683868b4f1d2268e0295daca76448bc	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/udemy-trn-sqd9e7.png	(from https://www.classcentral.com/)
07:13:36	1382/1382	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2013:15:34%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Fudemy-trn-sq.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=918f4790c5c5818a022e23be21061434	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/udemy-trn-sq6b36.png	(from https://www.classcentral.com/)
07:13:37	7696/7696	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Mar%202023%2005:13:37%20GMT	https://www.classcentral.com/provider/swayam	C:/My%20Web%20Sites/classcentral/www.classcentral.com/provider/swayam	(from https://www.classcentral.com/)
07:13:37	240/240	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2010:51:14%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Fswayam-trn-sq.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=88931fa05e58c8ad6ecb7b60e18810cd	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/providers/swayam-trn-sqb82e.png	(from https://www.classcentral.com/)
